x,y,etiqueta
-3.191,-4.886,1.000
-3.755,-2.323,1.000
4.495,3.214,0.000
5.006,3.718,0.000
-0.904,-5.207,1.000
-2.675,-1.019,1.000
3.818,1.511,0.000
-4.464,-3.293,1.000
-0.939,-6.799,1.000
2.490,0.515,0.000
2.981,2.067,0.000
3.905,2.396,0.000
3.952,4.453,0.000
2.813,2.952,0.000
2.056,3.323,0.000
-3.045,-2.290,1.000
2.507,3.923,0.000
-1.464,-3.299,1.000
2.639,2.762,0.000
-2.118,1.050,1.000
3.418,3.400,0.000
4.646,1.993,0.000
-3.233,-2.529,1.000
3.184,3.100,0.000
-2.259,-3.899,1.000
-4.333,-3.419,1.000
-4.452,-6.942,1.000
4.560,3.129,0.000
-2.139,-2.932,1.000
-5.755,-6.886,1.000
1.473,2.942,0.000
-6.398,-3.574,1.000
-3.963,-2.784,1.000
-3.123,-2.163,1.000
-3.654,1.229,1.000
-6.124,-4.861,1.000
-3.028,-3.560,1.000
-3.923,-3.892,1.000
3.555,2.377,0.000
2.664,4.346,0.000
3.405,3.910,0.000
2.310,3.495,0.000
-0.943,-2.378,1.000
2.649,2.771,0.000
4.912,4.065,0.000
-2.870,-5.036,1.000
-2.264,-4.875,1.000
2.421,4.089,0.000
4.044,3.526,0.000
2.225,3.773,0.000
3.885,2.535,0.000
-3.261,-3.236,1.000
1.087,3.362,0.000
3.582,3.888,0.000
2.349,4.044,0.000
2.126,2.997,0.000
-1.601,-3.287,1.000
3.884,2.049,0.000
4.553,2.560,0.000
3.796,4.049,0.000
-4.344,-3.075,1.000
-3.370,-0.116,1.000
-1.355,-2.223,1.000
3.122,2.485,0.000
3.200,0.829,0.000
0.922,1.759,0.000
1.155,-7.698,1.000
3.951,2.657,0.000
2.731,2.914,0.000
-3.913,-2.241,1.000
-0.970,-2.238,1.000
2.343,2.063,0.000
-4.523,1.163,1.000
-2.309,-1.819,1.000
-3.973,-7.047,1.000
3.009,2.634,0.000
3.029,3.969,0.000
-1.568,0.077,1.000
-0.565,-2.802,1.000
1.758,2.184,0.000
5.389,4.843,0.000
4.209,1.559,0.000
2.296,2.272,0.000
-2.667,-7.996,1.000
2.842,1.645,0.000
-5.706,-6.210,1.000
-2.104,-3.623,1.000
-4.718,-3.566,1.000
3.649,1.777,0.000
-0.157,-4.003,1.000
2.976,2.429,0.000
3.240,3.306,0.000
-4.969,-1.549,1.000
3.879,2.760,0.000
3.257,3.315,0.000
2.276,2.467,0.000
5.374,2.689,0.000
1.368,3.281,0.000
2.612,2.332,0.000
2.504,2.832,0.000
4.270,2.182,0.000
3.708,3.723,0.000
-1.898,-6.592,1.000
3.439,2.892,0.000
-4.600,1.820,1.000
-2.009,-3.346,1.000
2.553,2.524,0.000
-4.126,-1.070,1.000
-2.828,-2.210,1.000
5.357,3.938,0.000
5.043,4.620,0.000
2.573,2.447,0.000
1.581,4.042,0.000
1.247,2.455,0.000
1.969,2.950,0.000
-2.136,0.307,1.000
-6.422,-2.462,1.000
-3.338,-4.575,1.000
-3.749,-5.307,1.000
2.172,2.696,0.000
-6.220,-6.812,1.000
1.566,2.808,0.000
2.981,1.326,0.000
-3.271,-1.289,1.000
-2.515,-4.584,1.000
2.435,1.998,0.000
3.964,3.974,0.000
4.106,3.772,0.000
-3.275,-4.742,1.000
-2.457,-0.303,1.000
2.171,2.455,0.000
-4.455,-2.731,1.000
3.367,2.474,0.000
2.601,2.939,0.000
1.476,3.798,0.000
3.393,3.681,0.000
-3.232,-0.601,1.000
2.627,1.826,0.000
3.774,2.462,0.000
3.868,3.283,0.000
4.543,4.323,0.000
2.318,2.952,0.000
-3.008,-5.177,1.000
-4.262,-5.183,1.000
4.024,1.906,0.000
2.373,0.808,0.000
-2.707,-2.363,1.000
-2.716,-7.094,1.000
-3.225,-3.300,1.000
2.398,3.760,0.000
3.538,3.048,0.000
-5.581,-0.850,1.000
3.614,4.358,0.000
-3.643,-2.470,1.000
3.059,5.348,0.000
-1.271,-1.106,1.000
3.506,2.971,0.000
3.270,2.770,0.000
-1.829,-4.397,1.000
-1.935,-5.087,1.000
5.778,4.194,0.000
-4.222,-0.652,1.000
-3.424,2.512,1.000
1.958,4.278,0.000
-0.167,-3.069,1.000
-2.432,-3.825,1.000
3.259,3.302,0.000
-4.054,1.115,1.000
-4.833,-1.883,1.000
4.782,3.590,0.000
-2.092,-2.407,1.000
4.167,4.621,0.000
3.478,2.741,0.000
4.060,4.541,0.000
2.405,3.588,0.000
3.904,3.019,0.000
-3.106,0.125,1.000
-1.222,-1.293,1.000
-4.931,-1.927,1.000
-2.896,-4.589,1.000
4.975,2.953,0.000
4.331,3.988,0.000
2.125,2.600,0.000
-4.574,1.707,1.000
3.384,0.630,0.000
-4.053,-2.870,1.000
-2.218,-3.422,1.000
4.048,2.371,0.000
-4.645,-3.446,1.000
5.472,2.504,0.000
1.705,2.895,0.000
3.493,3.089,0.000
3.618,4.217,0.000
3.747,2.709,0.000
-4.006,-5.461,1.000
-4.656,-4.134,1.000
-3.810,-6.651,1.000
-1.709,-5.998,1.000
-0.482,-3.236,1.000
-1.869,-2.382,1.000
-4.117,-2.167,1.000
1.566,3.581,0.000
2.548,3.777,0.000
3.095,3.179,0.000
5.402,2.977,0.000
-4.235,-5.378,1.000
-4.814,-1.792,1.000
-3.434,-4.986,1.000
1.681,2.774,0.000
-0.332,1.162,1.000
2.264,3.580,0.000
2.198,4.384,0.000
3.115,4.551,0.000
-2.463,-3.678,1.000
6.372,2.080,0.000
-4.001,-0.523,1.000
-4.669,-2.590,1.000
4.316,1.247,0.000
3.165,2.144,0.000
-1.765,-0.914,1.000
-1.754,-2.814,1.000
2.568,4.860,0.000
3.028,3.127,0.000
-2.759,-7.240,1.000
-6.168,-3.204,1.000
-1.596,-4.114,1.000
-4.981,-2.417,1.000
-1.901,0.079,1.000
-2.849,2.123,1.000
-4.171,1.069,1.000
-4.718,-0.062,1.000
2.556,1.331,0.000
4.129,2.920,0.000
-1.710,-6.431,1.000
3.042,2.863,0.000
1.237,4.144,0.000
2.682,2.681,0.000
-3.426,-0.430,1.000
2.259,2.986,0.000
-1.282,0.154,1.000
-2.676,-3.209,1.000
-2.905,-4.004,1.000
-6.219,-4.956,1.000
-4.812,-4.330,1.000
