CPE,model,MAE,RMSE,MAPE,n_test
PT0002000068856781NM,Baseline,1.2083333333333333,1.5622023526023094,4.043959597845066,672
PT0002000068856906VS,Baseline,1.4255952380952381,2.141567071984794,28.170394420394416,672
PT0002000081997398TD,Baseline,2.46875,3.5521204264227197,9.44186576552884,672
PT0002000073231742VK,Baseline,0.40773809523809523,0.6385437300906612,16.889880952380953,672
PT0002000033074862LZ,Baseline,0.3244047619047619,0.5799219980389809,17.02628968253968,672
PT0002000068856781NM,ARIMA,0.792922555232087,0.9926867234819668,2.648998937430779,672
PT0002000068856906VS,ARIMA,0.6934367105472083,1.0490433636675471,17.16171543848762,672
PT0002000081997398TD,ARIMA,2.249380384598721,3.4554674430631658,9.329423568509384,672
PT0002000073231742VK,ARIMA,0.4122211016353679,0.4714450646486896,17.176623744131014,672
PT0002000033074862LZ,ARIMA,0.3934748839598712,0.5600391265241453,20.863118681736584,672
PT0002000068856781NM,LSTM,1.0112688342730205,1.202528054788185,3.420484958741304,672
PT0002000068856906VS,LSTM,0.6975407884234474,1.0373435822947223,17.602086395446598,672
PT0002000081997398TD,LSTM,3.3009239491962252,4.277160158810661,15.147878362279755,672
PT0002000073231742VK,LSTM,0.49480891405116917,0.5012405731392338,19.33196633462867,672
PT0002000033074862LZ,LSTM,0.4296978807875088,0.5689174988059936,23.67010834730334,672
